name,dialogue,season,episode
monica,There's nothing to tell! He's just some guy I work with!,1,1
joey,"C'mon, you are going out with the guy! There's got to be something wrong with him!",1,1
chandler,"All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?",1,1
phoebe,"Wait, does he eat chalk?",1,1
phoebe,"Just, Because, I don't want her to go through what I went through with Carl- oh!",1,1
monica,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",1,1
chandler,Sounds like a date to me.,1,1
chandler,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",1,1
all,"Oh, yeah. Had that dream.",1,1
chandler,"Then I look down, and I realize there's a phone... there.",1,1
joey,Instead of...?,1,1
chandler,that is right.,1,1
joey,Never had that dream.,1,1
phoebe,No.,1,1
chandler,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",1,1
monica,And they weren't looking at you before?!,1,1
chandler,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",1,1
ross,Hi.,1,1
joey,"This guy says hello, I want to kill myself.",1,1
monica,"Are you okay, sweetie?",1,1
ross,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",1,1
chandler,Cookie?,1,1
monica,Carol moved her stuff out today.,1,1
joey,OH.,1,1
monica,Let me get you some coffee.,1,1
ross,Thanks.,1,1
phoebe,Ooh! Oh!,1,1
ross,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",1,1
phoebe,Fine!  Be murky!,1,1
ross,"I'll be fine, alright? Really, everyone. I hope she'll be very happy.",1,1
monica,No you don't.,1,1
ross,"No I don't, to hell with her, she left me!",1,1
joey,And you never knew she was a lesbian...,1,1
ross,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",1,1
chandler,Sometimes I wish I was a lesbian...  Did I say that out loud?,1,1
ross,"I told mom and dad last night, they seemed to take it pretty well.",1,1
monica,"Oh really, so that hysterical phone call I got from a woman at sobbing 3",1,1
ross,Sorry.,1,1
joey,"Alright Ross, look. you are feeling a lot of pain right now. you are angry. you are hurting. Can I tell you what the answer is?",1,1
joey,"Strip joint! C'mon, you are single! Have some hormones!",1,1
ross,"I don't want to be single, okay? I just... I just- I just want to be married again!",1,1
chandler,And I just want a million dollars!,1,1
monica,Rachel?!,1,1
rachel,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",1,1
waitress,Can I get you some coffee?,1,1
monica,"De-caff.  Okay, everybody, this is Rachel, another Lincoln High survivor.  This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?",1,1
rachel,"Hi, sure!",1,1
ross,Hi.,1,1
monica,"So you want to tell us now, or are we waiting for four wet bridesmaids?",1,1
rachel,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that is when it hit me",1,1
monica,Who wasn't invited to the wedding.,1,1
rachel,"Ooh, I was kind of hoping that wouldn't be an issue…",1,1
monica,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",1,1
chandler,Tuna or egg salad?  Decide!,1,1
ross,I'll have whatever Christine is having.,1,1
